company_id,metric_type,period_years,parsed_value_pct,ratio_engine_value_pct,absolute_divergence_pct,manual_review
HDFCBANK,compounded_profit_growth,3,26.0,23.865063572879073,2.134936427120927,False
HDFCBANK,compounded_profit_growth,5,23.0,23.865063572879073,0.8650635728790732,False
HDFCBANK,compounded_profit_growth,10,22.0,23.865063572879073,1.8650635728790732,False
HDFCBANK,compounded_sales_growth,3,30.0,21.95098428169122,8.04901571830878,True
HDFCBANK,compounded_sales_growth,5,22.0,21.95098428169122,0.049015718308780265,False
HDFCBANK,compounded_sales_growth,10,21.0,21.95098428169122,0.9509842816912197,False
INFY,compounded_profit_growth,3,10.0,11.239419983657939,1.239419983657939,False
INFY,compounded_profit_growth,5,11.0,11.239419983657939,0.23941998365793893,False
INFY,compounded_profit_growth,10,9.0,11.239419983657939,2.239419983657939,False
INFY,compounded_sales_growth,3,5.0,13.199100930556229,8.199100930556229,True
INFY,compounded_sales_growth,5,13.0,13.199100930556229,0.19910093055622902,False
INFY,compounded_sales_growth,10,12.0,13.199100930556229,1.199100930556229,False
SBILIFE,compounded_profit_growth,3,9.0,7.374662152227485,1.6253378477725153,False
SBILIFE,compounded_profit_growth,5,6.0,7.374662152227485,1.3746621522274847,False
SBILIFE,compounded_profit_growth,10,9.0,7.374662152227485,1.6253378477725153,False
SBILIFE,compounded_sales_growth,3,17.0,24.231614182367544,7.231614182367544,True
SBILIFE,compounded_sales_growth,5,24.0,24.231614182367544,0.23161418236754372,False
SBILIFE,compounded_sales_growth,10,23.0,24.231614182367544,1.2316141823675437,False
TCS,compounded_profit_growth,3,12.0,7.871172131953608,4.128827868046392,False
TCS,compounded_profit_growth,5,8.0,7.871172131953608,0.12882786804639235,False
TCS,compounded_profit_growth,10,9.0,7.871172131953608,1.1288278680463923,False
TCS,compounded_sales_growth,3,14.0,10.463614801716602,3.536385198283398,False
TCS,compounded_sales_growth,5,10.0,10.463614801716602,0.4636148017166022,False
TCS,compounded_sales_growth,10,11.0,10.463614801716602,0.5363851982833978,False
WIPRO,compounded_profit_growth,3,0.0,4.26448450032566,4.26448450032566,False
WIPRO,compounded_profit_growth,5,4.0,4.26448450032566,0.2644845003256604,False
WIPRO,compounded_profit_growth,10,3.0,4.26448450032566,1.2644845003256604,False
WIPRO,compounded_sales_growth,3,13.0,8.747228996316725,4.252771003683275,False
WIPRO,compounded_sales_growth,5,9.0,8.747228996316725,0.2527710036832751,False
WIPRO,compounded_sales_growth,10,8.0,8.747228996316725,0.7472289963167249,False
