company_id,cluster_id,cluster_name,distance_from_centroid
ABB,1,Emerging Growth,0.38753539484024874
ADANIENSOL,1,Emerging Growth,1.3960826178093988
ADANIENT,4,Value Cyclicals,1.199961688315466
ADANIGREEN,2,Distressed or Turnaround,2.537351934345736
ADANIPORTS,3,High-Quality Compounders,1.0206936873937267
ADANIPOWER,1,Emerging Growth,1.08673269898611
AMBUJACEM,1,Emerging Growth,0.8164974448455432
APOLLOHOSP,1,Emerging Growth,0.748005079464062
ASIANPAINT,1,Emerging Growth,0.47824355233127075
ATGL,4,Value Cyclicals,0.9605122118488439
AXISBANK,2,Distressed or Turnaround,1.0694847360662698
BAJAJ-AUTO,1,Emerging Growth,0.2443306992064936
BAJAJFINSV,2,Distressed or Turnaround,2.282662933832178
BAJAJHLDNG,3,High-Quality Compounders,2.137212693029496
BAJFINANCE,2,Distressed or Turnaround,2.5487280841741016
BANKBARODA,2,Distressed or Turnaround,1.9338347400019456
BEL,0,Defensive Dividend Payers,0.7903543049753409
BHARTIARTL,3,High-Quality Compounders,1.375537610618383
BHEL,1,Emerging Growth,1.8545081381398905
BOSCHLTD,1,Emerging Growth,0.5479670390347334
BPCL,1,Emerging Growth,0.9138195277192693
BRITANNIA,1,Emerging Growth,0.22714554862620923
CANBK,2,Distressed or Turnaround,3.2229235838679666
CHOLAFIN,2,Distressed or Turnaround,0.6778781283926968
CIPLA,3,High-Quality Compounders,0.9578505739324158
COALINDIA,3,High-Quality Compounders,1.1834179642740608
DABUR,1,Emerging Growth,0.3772953370436064
DIVISLAB,1,Emerging Growth,0.45245865632478743
DLF,1,Emerging Growth,1.8193006242727445
DMART,4,Value Cyclicals,0.9484649178379216
DRREDDY,1,Emerging Growth,0.591462819669236
EICHERMOT,1,Emerging Growth,0.4464616985929634
GAIL,1,Emerging Growth,0.48594376185607746
GODREJCP,1,Emerging Growth,0.5424276703324716
GRASIM,1,Emerging Growth,1.8821170981913093
HAL,0,Defensive Dividend Payers,0.7903543049753589
HAVELLS,1,Emerging Growth,0.6758931910035779
HCLTECH,1,Emerging Growth,0.5704227983786698
HDFCBANK,3,High-Quality Compounders,2.3383018387409473
HDFCLIFE,3,High-Quality Compounders,1.3112813775959073
HEROMOTOCO,3,High-Quality Compounders,1.656786778392165
HINDALCO,3,High-Quality Compounders,0.7426106829452411
HINDUNILVR,3,High-Quality Compounders,0.8767081504105971
ICICIBANK,3,High-Quality Compounders,1.7426526992310298
ICICIGI,3,High-Quality Compounders,0.8059071033652612
ICICIPRULI,3,High-Quality Compounders,1.108359989689444
INDIGO,3,High-Quality Compounders,1.5817150893003349
INDUSINDBK,2,Distressed or Turnaround,0.9088734395453538
INFY,1,Emerging Growth,0.7531865791822476
IOC,1,Emerging Growth,1.5158271966240144
IRCTC,1,Emerging Growth,1.1825677370549141
IRFC,3,High-Quality Compounders,2.4043527524808237
ITC,1,Emerging Growth,0.8508231117230334
JINDALSTEL,1,Emerging Growth,1.0500126545657273
JIOFIN,3,High-Quality Compounders,0.7861700596140497
JSWENERGY,1,Emerging Growth,1.2543810133532725
JSWSTEEL,1,Emerging Growth,0.877428360988653
KOTAKBANK,3,High-Quality Compounders,0.8032443983029317
LICI,1,Emerging Growth,0.7309641511578253
LODHA,1,Emerging Growth,1.5092327971102866
LT,1,Emerging Growth,0.679417602104022
LTIM,4,Value Cyclicals,0.3764452741857923
M&M,1,Emerging Growth,1.0046757651454143
MARUTI,1,Emerging Growth,0.3744438133211839
MOTHERSON,1,Emerging Growth,0.5049284933806713
NAUKRI,1,Emerging Growth,1.021964397449651
NESTLEIND,1,Emerging Growth,0.6814974871273979
NHPC,1,Emerging Growth,1.4899777711629298
NTPC,1,Emerging Growth,0.5442342342526476
ONGC,1,Emerging Growth,1.5918103838191522
PFC,2,Distressed or Turnaround,3.189337086586082
PIDILITIND,1,Emerging Growth,0.4411759321579658
PNB,2,Distressed or Turnaround,1.4173271129794642
POWERGRID,3,High-Quality Compounders,1.3245312740758293
RECLTD,2,Distressed or Turnaround,2.6380007085707957
RELIANCE,1,Emerging Growth,1.703300524655113
SBILIFE,4,Value Cyclicals,0.6911248651847126
SBIN,1,Emerging Growth,1.8930440087938836
SHREECEM,1,Emerging Growth,0.3185130877578206
SHRIRAMFIN,2,Distressed or Turnaround,1.3302122549297288
SIEMENS,1,Emerging Growth,0.46054774407056875
SUNPHARMA,1,Emerging Growth,0.3854594393966083
TATACONSUM,1,Emerging Growth,0.8649511127451637
TATAMOTORS,1,Emerging Growth,1.744172305141412
TATAPOWER,1,Emerging Growth,0.8218691721763772
TATASTEEL,1,Emerging Growth,0.4706371350254254
TCS,1,Emerging Growth,1.9607259621122406
TECHM,1,Emerging Growth,0.49905771969717394
TITAN,4,Value Cyclicals,0.9474589730899287
TORNTPHARM,1,Emerging Growth,0.543416979428381
TRENT,4,Value Cyclicals,0.966858949910001
TVSMOTOR,1,Emerging Growth,1.3194808468937331
ULTRACEMCO,1,Emerging Growth,0.355490027755558
UNIONBANK,2,Distressed or Turnaround,3.2789906630409353
UNITDSPR,1,Emerging Growth,0.7184455612647267
VBL,4,Value Cyclicals,0.49875884707919577
VEDL,1,Emerging Growth,0.6796010682937247
WIPRO,1,Emerging Growth,0.5291678754941123
ZOMATO,4,Value Cyclicals,3.306459183049552
ZYDUSLIFE,1,Emerging Growth,0.3977897811877179
